Question,Answer,Detected Language,Actual Language,Relevance Score,Correct Output,Timestamp
కాసావా వ్యాధి నిర్వహణకు స్థిరమైన విధానాలు ఏమిటి?,"జంతువులకు తగినంత ఆహారం, నీరు మరియు ఆశ్రయం అందించేలా చూసుకోవడం, అలాగే సాధారణ పశువైద్య చెక్-అప్‌లు మరియు టీకాల ద్వారా వారి ఆరోగ్యాన్ని కాపాడుతుంది",te,te,5,True,2024-11-30 21:37:54
కాసావా వ్యాధి నిర్వహణకు స్థిరమైన విధానాలు ఏమిటి?,వ్యాధి-నిరోధక రకాలను పెంపకం చేయడం మరియు సహజ తెగులు నియంత్రణ పద్ధతులను ఉపయోగించడం.,te,te,5,True,2024-11-30 21:54:49
"కాసావా వ్యాధి నిర్వహణకు స్థిరమైన విధానాలు ఏమిటి?

",వ్యాధి-నిరోధక రకాలను పెంపకం చేయడం మరియు సహజ తెగులు నియంత్రణ పద్ధతులను ఉపయోగించడం.,te,te,5,True,2024-11-30 22:10:29
వ్యవసాయ ఆటోయేషన్‌లో మోటరైజ్డ్ యాంత్రీకరణ యొక్క ఏదైనా రూపాన్ని పేర్కొనండి.,దున్నడం మరియు పాలు పితకడం,te,te,5,True,2024-11-30 22:11:16
what is Mechanical pest control.,"is the use of hands-on techniques as well as simple equipment and devices, that provides a protective barrier between plants and insects",en,en,5,True,2024-11-30 22:47:06
which region has the adoption of motorized mechanization has stalled over the past decades., Sub-Saharan Africa,en,en,5,True,2024-11-30 22:49:38
മോട്ടോർ ഘടിപ്പിച്ച യന്ത്രവൽക്കരണം സ്വീകരിച്ച പ്രദേശം കഴിഞ്ഞ ദശാബ്ദങ്ങളായി സ്തംഭിച്ചു.,സബ്-സഹാറൻ ആഫ്രിക്ക,ml,ml,5,True,2024-11-30 22:50:11
what are the sustainable approaches to cassava disease management?,breeding disease-resistant varieties and using natural pest control methods.,en,en,5,True,2024-11-30 22:55:53
కాసావా వ్యాధి నిర్వహణకు స్థిరమైన విధానాలు ఏమిటి?,వ్యాధి-నిరోధక రకాలను పెంపకం చేయడం మరియు సహజ తెగులు నియంత్రణ పద్ధతులను ఉపయోగించడం.,te,te,5,True,2024-11-30 22:59:13
which other techniques can help preserve quality of beans?,The use of hermetic storage bags or containers,en,en,5,True,2024-11-30 23:00:19
బీన్స్ నాణ్యతను సంరక్షించడానికి ఏ ఇతర పద్ధతులు సహాయపడతాయి?,హెర్మెటిక్ నిల్వ సంచులు లేదా కంటైనర్ల ఉపయోగం,te,te,5,True,2024-11-30 23:00:53
మెచ్యూరిటీ వివాదం వర్షం అందుబాటులోకి రాకముందే బీన్స్ ఎందుకు పసుపు రంగులోకి మారుతుంది,"పోషకాల లోపం: బీన్స్‌లో తగినంత పోషకాలు, ముఖ్యంగా నత్రజని అందకపోతే, వాటి ఆకులు పసుపు రంగులోకి మారుతాయి. మట్టి పరీక్ష పోషకాల లోపం ఉన్నట్లయితే గుర్తించడంలో సహాయపడుతుంది.",te,te,5,True,2024-11-30 23:02:04
సింథటిక్ ఎరువులు మితిమీరి వాడటం వల్ల ఇలా జరుగుతుందా?,"నేల క్షీణత, పోషకాల క్షీణత, సేంద్రియ పదార్థం తగ్గడం మరియు నేల ఆమ్లత్వం పెరగడం",te,te,5,True,2024-11-30 23:03:07
സൈലേജിനായി ഏറ്റവും കൂടുതൽ ഉപയോഗിക്കുന്ന വിള ഏതാണ്.,ചോളം,ml,ml,5,True,2024-11-30 23:04:18
ജൈവ ഉൽപാദനത്തിൽ അനുവദനീയമായ സിന്തറ്റിക് പദാർത്ഥങ്ങൾ.,"ക്ലോറിൻ, ഹൈഡ്രജൻ പെറോക്സൈഡ്",ml,ml,5,True,2024-11-30 23:05:19
